village,census_village_code,population_2011,children_0_6_2011,last_verified_event_date,event_type,event_summary,source_url,evidence_classification,outreach_gap_status,research_status
"Padinharethara",627324,16146,1983,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify FHC/ASHA/panchayat register","Needs local verification"
"Panamaram",627304,12683,1512,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify CHC/ASHA/panchayat register","Needs local verification"
"Payyampally",627295,13311,1306,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Periya",627298,11174,1125,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Poothadi",627310,14578,1306,2014-12-04,"Health awareness class","COHEART records a bird-flu awareness class at Poothadi Grama Panchayat. This is community health awareness, not a clinical camp.",https://coheart.ac.in/uploads/about/1554357111.pdf,"Dated related community event—not clinical camp","High—clinical-camp date still unknown","Verified public record"
"Porunnanore",627306,22137,2993,,,"No dated human-health outreach event located. The official institution list links a Health and Wellness Centre at Payingatiri to FHC Edavaka.",https://health.kerala.gov.in/assets/backend/uploads/Galleryitem/1774070640719916785.pdf,"Facility presence only","High—verify HWC/FHC outreach register","Needs local verification"
"Pozhuthana",627334,6406,778,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Pulpalli",627311,28322,3055,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify CHC/ASHA/panchayat register","Needs local verification"
"Purakkadi",627315,21022,2226,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Sulthanbathery",627317,23333,2653,,,"No dated human-health outreach event located in indexed public-web search. Tribal Medical Unit Sulthan Bathery is listed by Kerala Health.",https://health.kerala.gov.in/institutionDetails,"Facility presence only","High—verify Tribal Medical Unit/ASHA register","Needs local verification"
"Thariyode",627332,1653,205,,,"No dated human-health outreach event located. Food-safety awareness activity is described at Thariyode Panchayat/Kavumannam without a date.",https://coheart.ac.in/uploads/about/1554357111.pdf,"Undated related community activity","High—verify CHC Thariyode/FWC register","Needs local verification"
"Thavinhal",627297,17840,1972,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Thirunelly",627293,12878,1676,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Thomattuchal",627323,17984,1800,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify FHC/ASHA/panchayat register","Needs local verification"
"Thondernad",627299,11752,1566,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Thrikkaipatta (Part)",627338,8551,889,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Thrissilery",627294,16818,1846,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Valat",627300,10799,1212,,,"No dated human-health outreach event located. PHC Valad is listed by Kerala Health.",https://health.kerala.gov.in/institutionDetails,"Facility presence only","High—verify PHC register","Needs local verification"
"Vellamunda",627307,18069,2386,,,"No dated human-health outreach event located. FHC Vellamunda is listed by Kerala Health.",https://health.kerala.gov.in/institutionDetails,"Facility presence only","High—verify FHC/ASHA outreach register","Needs local verification"
"Vellarimala",627340,7548,917,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify PHC/ASHA/panchayat register","Needs local verification"
"Vengappally",627330,11692,1344,,,"No dated human-health outreach event located in indexed public-web search.",,"No public dated event found","High—verify FHC/ASHA/panchayat register","Needs local verification"
